72,117,0
479,223,1
577,164,0
356,3,4
223,66,2
155,17,2
124,34,1
540,236,4
504,67,0
306,74,3
768,53,2
688,145,1
548,250,3
807,256,2
406,110,4
996,180,4
885,108,2
824,143,2
855,24,1
856,244,5
534,142,0
137,123,1
629,160,1
985,202,4
541,19,0
84,127,4
693,227,2
452,29,1
382,216,4
400,22,1
150,211,5
432,188,0
751,47,4
223,126,1
909,81,2
295,37,5
201,200,4
649,75,1
104,136,0
727,30,1
836,68,4
51,12,0
996,246,5
422,171,0
594,159,3
584,240,4
631,28,0
886,20,0
354,68,3
86,152,0
162,240,0
837,39,4
364,170,1
225,105,0
389,173,2
143,70,4
927,73,4
318,45,3
229,34,4
1,166,2
373,223,1
257,27,5
759,89,0
1,127,4
753,48,5
442,237,3
168,257,5
47,165,1
308,4,5
161,241,1
313,43,3
623,107,5
971,141,3
208,54,2
981,179,5
893,120,1
645,7,1
468,150,5
150,224,2
409,33,1
285,105,2
634,225,3
249,190,1
381,104,2
413,244,0
61,111,1
261,24,1
148,157,5
325,197,2
173,39,3
111,221,5
651,155,0
19,127,2
955,40,0
801,119,5
637,230,2
756,174,0
839,25,1
519,126,1
950,115,5
870,187,4
661,220,2
935,106,4
530,28,2
731,179,0
537,214,1
525,64,4
775,240,0
943,142,4
228,202,3
394,15,2
737,129,5
751,37,0
488,255,0
18,248,4
699,27,5
116,195,1
278,31,5
934,149,5
609,237,2
742,152,0
804,105,3
210,40,4
650,3,4
566,107,0
417,92,2
406,221,2
229,136,4
248,225,5
590,26,4
685,96,4
0,192,0
649,91,4
226,237,2
502,79,2
846,37,2
60,223,3
962,219,5
954,207,5
890,179,1
880,139,5
267,227,2
854,50,0
986,9,5
192,82,5
563,104,0
835,219,2
377,41,3
325,137,2
459,39,1
170,175,4
959,146,1
910,254,0
908,131,3
395,97,4
591,179,1
957,165,5
267,203,5
300,17,1
64,211,1
349,64,1
177,38,5
40,74,5
398,84,2
777,142,5
21,159,4
406,186,2
307,171,3
740,135,2
793,204,5
107,118,3
84,155,3
361,187,3
823,185,5
647,154,4
214,53,1
97,224,3
642,215,0
140,65,2
807,85,5
848,30,4
315,10,4
937,214,0
495,186,4
465,232,3
871,7,0
608,151,4
382,237,4
665,147,2
688,133,1
56,91,5
959,44,2
623,9,2
462,29,0
982,160,0
811,228,4
220,164,1
78,138,5
540,165,0
363,127,1
839,119,4
571,183,5
883,56,2
433,50,3
666,86,2
237,116,4
559,114,2
616,196,1
941,70,3
504,234,2
18,118,1
634,226,4
330,240,2
106,45,4
75,185,1
32,230,4
78,152,3
618,90,3
838,163,5
846,201,5
123,63,3
930,179,0
512,128,3
701,247,3
437,133,3
683,230,4
127,140,0
694,218,0
399,230,1
579,33,1
524,58,3
470,225,4
642,217,3
525,39,4
279,228,2
128,157,0
775,150,4
770,82,1
299,109,4
241,235,1
364,161,3
244,44,5
146,257,1
892,136,4
39,64,0
307,117,0
272,242,2
868,222,0
434,8,0
145,105,1
96,67,2
80,78,1
792,76,5
349,221,3
670,102,1
972,220,5
705,245,3
876,85,0
94,148,4
953,54,5
239,174,1
166,85,3
59,228,4
481,55,4
529,178,2
869,47,1
978,58,2
30,10,0
191,56,5
283,184,3
654,254,0
570,78,0
266,194,2
426,86,5
660,172,3
707,199,4
739,92,3
720,176,1
246,245,5
33,92,2
672,56,5
580,208,0
691,129,0
928,87,0
987,2,0
964,212,5
327,196,4
597,27,0
646,229,0
198,148,1
351,220,4
86,69,0
96,149,4
717,207,4
339,33,3
774,164,5
777,135,2
935,143,3
500,151,0
782,16,3
448,229,0
109,218,3
828,56,1
417,151,5
895,72,5
416,64,2
138,62,4
801,247,3
787,173,2
780,12,3
737,132,1
801,239,5
499,138,0
29,207,1
599,180,5
86,59,3
857,130,2
45,90,3
728,113,3
312,34,4
146,164,1
816,60,5
535,107,4
960,95,5
739,135,0
95,152,0
29,84,4
32,172,1
281,12,4
196,128,5
988,172,0
844,229,0
971,9,4
853,80,4
413,30,3
612,26,4
754,166,4
815,138,4
814,164,3
585,74,2
821,215,4
878,241,4
406,54,0
312,105,5
804,57,5
531,115,5
188,247,2
900,194,1
122,197,3
252,67,2
152,105,0
524,58,4
714,196,1
996,137,3
678,198,4
490,202,1
486,74,2
284,85,5
763,32,4
747,21,1
192,19,0
890,28,0
854,181,2
489,154,1
451,255,3
728,94,5
186,136,1
651,220,2
919,163,1
504,197,1
68,251,2
435,44,1
786,137,0
423,7,5
758,251,1
64,70,0
796,228,0
638,228,4
713,180,1
562,238,0
418,245,2
287,178,3
881,15,5
818,170,3
168,219,0
933,238,3
657,15,5
521,131,4
598,171,4
997,140,5
880,10,1
465,103,2
525,133,3
800,31,5
714,223,4
784,175,4
862,78,3
948,199,0
406,230,4
2,120,4
795,61,4
65,227,4
779,145,2
849,101,5
406,198,2
145,186,5
446,71,1
240,219,1
441,176,4
893,9,5
680,234,0
503,87,3
318,58,5
948,229,1
38,161,5
856,159,1
479,90,4
624,41,4
656,59,5
756,100,0
439,131,2
50,227,3
669,77,2
40,22,3
926,202,0
935,176,5
664,233,4
293,185,0
83,211,5
19,249,3
99,151,4
363,137,5
673,164,2
398,19,1
249,253,4
300,44,4
829,32,1
540,59,0
705,68,4
117,154,2
743,4,4
553,7,0
33,162,2
804,127,0
210,73,3
299,166,4
824,150,0
29,257,4
820,246,4
210,66,0
134,64,5
677,219,2
795,218,1
131,152,1
990,232,4
233,47,3
785,182,4
728,45,4
782,234,3
383,231,5
266,224,5
234,257,3
85,172,3
926,246,4
361,20,0
302,101,4
863,230,2
674,244,4
775,182,0
907,41,5
163,102,4
13,241,2
481,105,2
282,112,0
98,226,4
804,106,1
774,41,3
513,56,5
196,155,4
97,203,1
826,79,3
60,243,4
761,98,1
683,185,1
682,54,0
971,206,4
344,105,4
860,142,1
985,107,3
119,232,4
15,207,2
308,33,4
904,238,0
327,159,5
134,55,4
713,112,0
681,51,0
592,8,5
250,128,1
917,132,4
747,54,1
580,220,0
341,169,4
468,210,0
314,93,0
66,120,4
822,230,4
836,241,1
846,64,5
8,8,0
156,59,1
945,215,2
924,21,0
187,94,3
190,47,5
440,181,5
314,187,3
392,115,1
8,208,4
837,191,5
140,64,4
472,250,4
424,197,2
777,123,0
796,170,1
849,8,3
229,84,5
408,220,4
403,243,4
234,45,4
711,129,0
405,152,5
112,154,2
410,82,0
945,35,5
858,166,2
616,159,5
546,148,3
460,43,3
595,199,4
323,88,3
536,204,4
224,250,4
207,101,3
609,243,1
815,172,1
385,158,3
608,204,2
951,195,2
933,126,5
407,227,2
928,79,5
986,160,0
72,85,0
512,231,1
401,106,0
448,58,1
524,218,2
860,110,3
469,225,4
47,159,0
323,52,5
941,167,4
640,202,1
507,106,4
821,68,4
991,151,5
785,68,1
95,130,1
941,100,0
628,170,5
700,202,3
242,191,5
55,7,2
251,43,3
770,68,4
221,20,3
733,89,3
507,100,5
3,240,1
464,220,1
440,81,0
766,33,0
301,224,1
739,118,1
936,104,1
818,206,3
716,88,4
723,14,5
825,20,3
922,13,0
699,27,3
473,163,3
158,59,0
209,101,5
530,167,4
81,52,3
814,114,1
830,115,1
633,178,0
770,104,2
314,32,5
64,183,1
887,32,0
359,200,3
197,88,5
722,247,4
733,219,1
938,183,4
217,84,4
468,159,1
283,194,1
702,85,2
316,64,1
19,211,2
756,21,1
288,41,0
158,75,3
264,170,5
113,19,0
461,23,0
583,98,0
599,190,4
827,86,2
958,159,3
15,235,4
96,228,4
637,173,0
820,10,0
311,57,3
279,126,2
229,104,4
0,182,3
510,201,2
939,88,1
869,177,1
442,153,2
675,70,2
999,157,2
832,17,0
225,222,0
34,184,0
149,53,5
753,74,0
457,176,2
302,82,3
144,67,0
895,155,0
616,12,5
386,247,2
757,238,5
802,233,1
670,195,2
959,145,5
728,32,3
447,199,5
345,227,5
495,243,3
914,15,0
706,193,4
996,230,5
756,48,1
574,24,1
177,152,2
168,176,1
992,181,4
471,7,3
514,30,4
355,70,3
778,89,3
761,183,2
972,9,3
919,146,0
847,23,4
343,51,1
289,115,4
459,99,3
330,144,1
594,189,2
183,75,0
812,89,4
576,5,3
